time_s,A,B,C
0.000002,-0.2,1.2,-0.1
0.279780,-0.1,1.1,-0.1
0.495793,-0.2,1.1,-0.1
0.711474,-0.2,1.1,-0.1
0.965920,-0.2,1.1,-0.1
1.191345,-0.2,1.1,-0.1
1.406387,-0.2,1.1,-0.1
1.611088,-0.1,1.1,-0.1
1.815928,-0.2,1.1,-0.1
2.127324,-0.1,1.1,-0.1
2.343950,-0.1,1.1,-0.1
2.547526,-0.2,1.1,-0.1
2.781951,-0.2,1.1,-0.1
3.027617,-0.2,1.1,-0.1
3.307207,-0.2,1.1,-0.1
3.523105,-0.1,1.1,-0.1
3.740696,-0.2,1.1,-0.1
3.973481,-0.2,1.2,-0.1
4.189839,-0.1,1.1,-0.1
4.479965,-0.1,1.2,-0.1
4.684486,-0.2,1.2,-0.2
4.900585,-0.2,1.1,-0.1
5.118155,-0.2,1.1,-0.1
5.335197,-0.2,1.1,-0.1
5.609299,-0.2,1.1,-0.1
5.829508,-0.2,1.2,-0.1
6.034301,-0.2,1.1,-0.1
6.252992,-0.2,1.1,-0.1
6.469392,-0.2,1.2,-0.1
6.729089,-0.2,1.1,-0.1
6.971157,-0.2,1.1,-0.1
7.188259,-0.1,1.1,-0.1
7.405299,-0.1,1.1,-0.2
7.622028,-0.2,1.1,-0.1
7.903489,-0.2,1.1,-0.1
8.137847,-0.1,1.1,-0.1
8.340423,-0.1,1.0,-0.2
8.557027,-0.2,1.1,-0.0
8.777221,-0.2,1.1,-0.1
9.051050,-0.3,1.1,-0.1
9.261919,-0.2,1.1,-0.1
9.478648,-0.2,1.1,-0.1
9.697201,-0.2,1.1,-0.1
9.915618,-0.2,1.1,-0.1
10.194087,-0.2,1.1,-0.1
10.413509,-0.2,1.1,-0.1
10.631921,-0.2,1.1,-0.1
10.844963,-0.2,1.1,-0.1
11.068250,-0.2,1.1,-0.1
11.340457,-0.1,1.1,-0.2
11.567223,-0.2,1.1,-0.1
11.785504,-0.2,1.1,-0.1
12.003135,-0.1,1.1,-0.1
12.233539,-0.2,1.1,-0.1
12.530829,-0.1,1.1,-0.1
12.746976,-0.2,1.1,-0.1
12.966473,-0.2,1.1,-0.1
13.183157,-0.2,1.1,-0.1
13.415218,-0.2,1.1,-0.1
13.737977,-0.2,1.1,-0.1
13.946956,-0.2,1.1,-0.1
14.229979,-0.1,1.1,-0.1
14.468957,-0.2,1.1,-0.1
14.788865,-0.1,1.1,-0.1
14.997532,-0.2,1.1,-0.1
15.204682,-0.2,1.1,-0.1
15.421919,-0.2,1.1,-0.1
15.638268,-0.2,1.1,-0.1
15.928422,-0.2,1.1,-0.1
16.149262,-0.1,1.1,-0.1
16.365580,-0.2,1.1,-0.1
16.581779,-0.2,1.1,-0.1
16.798839,-0.2,1.1,-0.1
17.077067,-0.2,1.1,-0.1
17.295023,-0.2,1.1,-0.1
17.512908,-0.2,1.1,-0.1
17.757495,-0.2,1.1,-0.1
17.996875,-0.2,1.1,-0.1
18.252568,-0.2,1.1,-0.1
18.473634,-0.2,1.1,-0.1
18.691203,-0.2,1.1,-0.1
18.902733,-0.2,1.1,-0.1
19.125202,-0.2,1.1,-0.1
19.378601,-0.1,1.1,-0.1
19.619939,-0.2,1.1,-0.1
19.852982,-0.2,1.1,-0.1
20.078809,-0.2,1.1,-0.1
20.287406,-0.2,1.1,-0.1
20.539493,-0.2,1.1,-0.1
20.753512,-0.2,1.1,-0.1
20.998820,-0.2,1.1,-0.1
21.216933,-0.2,1.1,-0.1
21.434104,-0.2,1.1,-0.1
21.705393,-0.2,1.1,-0.1
21.915696,-0.2,1.1,-0.1
